,Shutter (mV)
1296,4931.3354
1297,4931.3354
1298,4931.3354
1299,4931.3354
1300,4931.3354
1301,4931.3354
1302,4931.3354
1303,4931.946
1304,4931.946
1305,4930.725
1306,4931.3354
1307,4931.6406
1308,4931.3354
1309,4932.251
1310,4931.946
1311,4930.725
1312,4931.3354
1313,4931.3354
1314,4931.3354
1315,4931.946
1316,4931.6406
1317,4931.6406
1318,4930.725
1319,4931.0303
1320,4931.946
1321,4931.3354
1322,4931.0303
1323,4931.0303
1324,4930.42
1325,4930.725
1326,4931.0303
1327,4931.0303
1328,4933.1665
1329,4930.725
1330,4930.42
1331,4930.725
1332,4931.3354
1333,4931.6406
1334,4930.725
1335,4931.3354
1336,4930.725
1337,4931.3354
1338,4930.42
1339,4931.3354
1340,4931.3354
1341,4929.8096
1342,4930.1147
1343,4930.725
1344,4931.3354
1345,4931.3354
1346,4933.4717
1347,4930.725
1348,4931.0303
1349,4930.725
1350,4931.946
1351,4931.3354
1352,4932.251
1353,4931.3354
1354,4931.6406
1355,4931.0303
1356,4931.6406
1357,4931.3354
1358,4930.725
1359,4931.0303
1360,4931.0303
1361,4931.6406
1362,4930.725
1363,4931.0303
1364,4930.42
1365,4931.3354
1366,4931.3354
1367,4930.42
1368,4930.725
1369,4931.0303
1370,4931.0303
1371,4931.3354
1372,4931.0303
1373,4931.3354
1374,4930.42
1375,4931.0303
1376,4930.725
1377,4930.725
1378,4931.3354
1379,4931.946
1380,4931.6406
1381,4931.3354
1382,4931.6406
1383,4931.6406
1384,4931.3354
1385,4932.251
1386,4931.946
1387,4931.6406
1388,4931.3354
1389,4931.3354
1390,4931.0303
1391,4931.3354
1392,4931.946
1393,4930.725
1394,4931.946
1395,4931.0303
1396,4931.6406
1397,4931.6406
1398,4930.42
1399,4931.3354
1400,4931.3354
1401,4931.0303
1402,4931.946
1403,4931.3354
1404,4931.0303
1405,4930.42
1406,4931.3354
1407,4931.6406
1408,4930.42
1409,4931.0303
1410,4931.6406
1411,4931.3354
1412,4930.42
1413,4931.6406
1414,4931.6406
1415,4931.3354
1416,4932.556
1417,4931.0303
1418,4931.3354
1419,4931.0303
1420,4932.251
1421,4930.725
1422,4930.725
1423,4931.6406
1424,4932.251
1425,4931.0303
1426,4930.725
1427,4931.6406
1428,4932.251
1429,4931.3354
1430,4931.6406
1431,4931.3354
1432,4931.3354
1433,4931.946
1434,4930.42
1435,4931.3354
1436,4931.3354
1437,4931.0303
1438,4931.946
1439,4931.3354
1440,4930.725
1441,4930.725
1442,4931.0303
1443,4931.6406
1444,4931.3354
1445,4931.3354
1446,4931.6406
1447,4931.6406
1448,4931.3354
1449,4931.6406
1450,4931.0303
1451,4931.0303
1452,4931.3354
1453,4931.3354
1454,4931.3354
1455,4931.0303
1456,4931.946
1457,4931.3354
1458,4931.6406
1459,4931.3354
1460,4932.556
1461,4931.6406
1462,4931.0303
1463,4931.3354
1464,4931.0303
1465,4931.3354
1466,4931.6406
1467,4931.3354
1468,4931.3354
1469,4931.3354
1470,4930.725
1471,4931.3354
1472,4931.6406
1473,4931.3354
1474,4931.3354
1475,4930.42
1476,4931.3354
1477,4931.946
1478,4931.3354
1479,4930.725
1480,4931.3354
1481,4930.1147
1482,4930.42
1483,4931.0303
1484,4931.6406
1485,4931.6406
1486,4932.556
1487,4931.3354
1488,4931.3354
1489,4931.3354
1490,4931.3354
1491,4931.0303
1492,4931.3354
1493,4930.725
1494,4930.725
1495,4931.3354
1496,4931.6406
1497,4931.3354
1498,4931.6406
1499,4930.42
1500,4930.725
1501,4930.725
1502,4931.6406
1503,4931.6406
1504,4931.3354
1505,4931.3354
1506,4931.3354
1507,4931.0303
1508,4931.946
1509,4931.6406
1510,4931.6406
1511,4931.0303
1512,4931.3354
1513,4931.946
1514,4931.3354
1515,4932.251
1516,4931.946
1517,4931.0303
1518,4930.1147
1519,4931.6406
1520,4931.0303
1521,4931.3354
1522,4931.0303
1523,4930.725
1524,4931.6406
1525,4931.0303
1526,4930.42
1527,4931.0303
1528,4931.3354
1529,4930.725
1530,4931.946
1531,4931.0303
1532,4930.42
1533,4931.3354
1534,4931.6406
1535,4931.0303
1536,4931.0303
1537,4931.6406
1538,4931.0303
1539,4931.3354
1540,4931.0303
1541,4931.3354
1542,4931.6406
1543,4931.6406
1544,4931.0303
1545,4931.3354
1546,4930.725
1547,4931.6406
1548,4931.946
1549,4931.3354
1550,4930.1147
1551,4931.0303
1552,4933.1665
1553,4931.6406
1554,4931.946
1555,4931.6406
1556,4931.3354
1557,4930.725
1558,4931.0303
1559,4931.946
1560,4931.6406
1561,4931.3354
1562,4931.3354
1563,4931.3354
1564,4931.0303
1565,4931.3354
1566,4930.725
1567,4930.725
1568,4930.1147
1569,4931.0303
1570,4931.0303
1571,4931.3354
1572,4932.251
1573,4931.0303
1574,4931.0303
1575,4931.0303
1576,4931.6406
1577,4930.725
